Reference,Hypothesis,Inference Time (s)
dia menjadi bersemangat setelah melihat pemandangan indah itu.,dia menjadi bersemangat setelah melihat pemandangan indah itu,0.37215185165405273
"mulai bulan depan, aku sudah tidak bekerja di perusahaan ini.",mulai bulan depan aku sudah tidak bekerja di perusahan ini,0.298581600189209
dia dikubur di pemakaman east end.,dia dikubur di pemakaman ene,0.18494009971618652
apakah anda bisa menjelaskannya lebih rinci?,apakah anda bisa menjelaskannya lebih rinci,0.2863750457763672
dia telah mencoba berbagai cara melangsingkan badan.,dia telah mencoba bebagai cara melangsingkan badan,0.2867753505706787
di depan rumahku ada pohon sakura.,di depan rumahku ada pohon sakura,0.2989060878753662
bagaimana kelihatannya?,bagaimana kelihatannya,0.2785933017730713
"berapa lama kamu akan pergi, tom?",berapa lama kemu akan bergitu,0.17336249351501465
tolong tanyain dong sama dia!,tolong tanyain domsama dia,0.17234206199645996
waktu berlalu begitu cepat.,waktu berlalu begitu cepat,0.18255019187927246
itu dalam bahasa jepang dengan terjemahan bahasa inggris.,ibu dalam bahaksa jepang dengan terjemahan bahasa inggris,0.29559326171875
dua ratus orang meninggal karena kolera tahun lalu.,dua ratus orang meninggal karena kelera tahun lalu,0.3661038875579834
tajam pisau karena diasah,tajam pisau karena di asah,0.17299842834472656
mengapa kamu mau belanja di sini? semuanya mahal.,mengapa kamu mau belanja di sini semuanya mahal,0.2988266944885254
saya ada teman orang thailand.,saya ada teman orang thailen,0.17894697189331055
tom menunjukkan mary bagaimana cara mengasah pisau.,tom menunjukkan mary bagaimana cara mengasah pisak,0.2713749408721924
tom mampu berenang dengan baik.,tom maupu berenang dengan baik,0.27234745025634766
jalan itu sangat panjang.,jalan itu sangat panjang,0.1723942756652832
biarkan mereka mengurus diri sendiri.,biarkan mereka mengurus diri sendiri,0.18138933181762695
aku masih ngantuk.,aku masih lantuk,0.17665767669677734
apakah anda gila?,apakah anda gila,0.18842840194702148
dia menolongku.,dia menolongku,0.12627625465393066
saya tidak dapat memakan ini.,saya tidak dapat memakan ini,0.18133544921875
kami dapat dipercaya.,,0.2769293785095215
apakah anda percaya pada tuhan?,apakah anda percaya pada tuhan,0.17646479606628418
kakakku memegang sebuah kamera di tangannya.,kakakku memegang sebelah kamira dih tangan,0.29527997970581055
"karena tembok kamar ini tipis, saya berbicara dengan suara kecil.",karena temok kamar ini tibis saya berbicara dengan suora kecil,0.28586363792419434
"karena hujan turun, tidak ada pertandingan bisbol.",karena husan turun tidak ada perdah di nanvisbol,0.2780027389526367
trafo tersebut rusak dikarenakan meledak.,trafo tersebut rusak dikarenakan meledak,0.1819295883178711
sudah terlambat berapa lamakah?,sudah terlambat berapa lamakah,0.16925716400146484
aku cinta kamu.,aku cinta kamu,0.12031102180480957
di atas pohon sana ada burung.,di atas pohon cana ada gurung,0.18821096420288086
saya hampir saja ditabrak mobil.,saya mangkir saja di tambrak mogi,0.17781758308410645
siapa anak itu?,sapa anak itu,0.1285264492034912
enak nggak makanannya?,enak kak makanannya,0.19211602210998535
apa yang sedang dilakukan ken?,apa yang sedang tilakukan ken,0.1758124828338623
saya staf yang paling junior di kantor saya.,saya setapgu yang paling gingur di nakor saya,0.2805919647216797
saya keluar memakai sepatu baru.,saya keluar memakai sepatu baru,0.1849803924560547
pak tanaka sudah menikah dan punya anak.,pak tanaka sudah menikah dan punya anak,0.19011545181274414
berinisiatif untuk beli obat sendiri lah di warung gitu yaa di toko,perinisiati untuk keliopajan dirilah diwarung idh di toko,0.18883705139160156
elvis memulai karier menyanyinya dengan label sun records di memphis.,elevis memulai kair menganjinga dengan labol san rekot dia mempis,0.3849146366119385
tom membaca catatan dari mary dan menyerahkannya kepada john.,tom membaca catatan dari mary dan menyerahkannya kepada john,0.27717113494873047
di kamar mandi tidak ada sampo.,di kamar mandi tidak ada sampo,0.17019081115722656
aku tidak mau tinggal dengan itu.,aku tidak mau tinggal dengan itu,0.1773982048034668
"minggu depan saat saya pergi ke situ, saya akan membeli dan membawa minuman.",minggu depan saat saya pergi ke sito saya akan membeli dan membawa minuman,0.5174555778503418
kereta ini berjalan antara tokyo dan osaka.,kereta ini berjalan antara tokyo dan osaka,0.27617812156677246
waktu luangnya digunakan untuk main golf.,waktu luangnya digunakan untuk main golf,0.17788100242614746
nanti mari kita makan siang bersama-sama.,nanti mari kita makan siang bersamasama,0.3709592819213867
saya membeli karcis ketika naik kereta.,saya membeli karcis ketika naik kereta,0.18984580039978027
dan ini dari zaman dulu sudah ada,dania dari jawan dulu sudah,0.11295747756958008
bapak lee mengerti bahasa jepang.,bapak lee mengerti bahasa jepang,0.18719244003295898
"untuk pertimbangan di bawah ini, seharusnya semua turunan yang diperlukan memang ada.",untuk pertimbangan di bawah ini seharusnya semua turunan yang diperlukan memang ada,0.399139404296875
nikmati makananmu.,nikmati makananmu,0.1754460334777832
kadal ini termasuk tokek berukuran sedang.,kagal ini termasuk tokek berukuran sedang,0.28328680992126465
ada yang membawa bolpoin saya.,ada yang membawa bolpoin saya,0.1840653419494629
"sebagai hasil dari penelitian alkimia, dia menyelesaikan sedikit pekerjaan di gereja.",sebagai hasil dari pendaikan alikinia dia menyelesaikan sedikit pekerjaan di dieja,0.3885674476623535
makanan dan pelayanannya baik sekali.,makanan dan pelayanannya baik sekali,0.27240610122680664
tolong nyalakan ac!,tolong nyalakan ac,0.17214703559875488
saya membaca new york times.,saya membaca neyork thaims,0.18161940574645996
seseorang mengalahkanku hingga seri.,seseorang mengalahkanku hingga seri,0.1855928897857666
dia akan menunggu kamu.,dia akan menunggu kamu,0.17232036590576172
bagaimana rasanya hidup di jakarta?,bagaimana rasanya hidup di jakarta,0.1839756965637207
"entahlah, saya tidak mengerti.",entana saya tidak mengerti,0.17614293098449707
apakah kamu mengenal mereka?,apakah kamu menalam merika,0.17681407928466797
tom berharap dia memiliki waktu yang lebih panjang.,tom berharap dia memiliki waktu yang lebih panjang,0.2769298553466797
sepatah kata sudah cukup bagi orang bijak.,sepatah kata sudah cukup pagi orang bijak,0.28813791275024414
pak kimura menunjukkan foto kepada saya.,pak kimura menunjukkan foto kepada saya,0.27895236015319824
tom akan berkembang.,tom akan berkembang,0.2716398239135742
"dengan rajin belajar, dia malas bersosialisasi.",dengan rajin belajar dia malas bersosialisasi,0.2965087890625
dia juga melatih di klub atletik kecil.,dia juga melatih di kelapat lanti kecil,0.28536128997802734
ruangan ini mendapat sedikit sinar matahari.,ruangan ini mendapat sedikit sinak matahari,0.19016647338867188
saya gemar berenang dan bermain bola basket.,saya gemar berenang dan bermain bola basket,0.27913928031921387
buah mangga ini rasa nya manis,buah mangga ini rasa nya manis,0.17325210571289062
saya dapat memenuhi semua kebutuhan anda.,saya dapat memenuhi semua kebudan anda,0.29189562797546387
sepertinya itu murah.,sepertinya itu murah,0.2738962173461914
stasiun kereta ada di mana?,stasiun kereta ada di mana,0.12993741035461426
mereka suka perempuan.,mereka suka perempuan,0.11602044105529785
gua cuma bilang,gutuso bilang,0.06244611740112305
kamu seperti malaikat!,kamu sehperpi malaikat,0.18463730812072754
hemat pangkal kata,himmat panggalkata,0.12891268730163574
rasanya seperti anda menjadi iron man.,merasanya seperti anda menjadi aerormen,0.273662805557251
tom pergi beberapa menit yang lalu.,tom pergi ke rwameteyang laut,0.18103456497192383
nikmati pekerjaanmu!,nikmati pekerjaanmu,0.12602901458740234
dia homo.,dia kaumu,0.1687023639678955
saya harus pulang,saya harus pulang,0.17261815071105957
saya tidak bisa berlari lagi karena kaki saya sakit.,saya tidak bisa berlari lagi karena kaki saya sakit,0.2834336757659912
itu dimuseumkan oleh angkatan udara india.,itu dimuseumkan oleh angkatan udara india,0.2726423740386963
kelas sebelah sangat ramai.,kelas sebelah sangat hamai,0.17572855949401855
mantel ini sepuluh ribu yen.,anjal ini sepuluh bih dinan,0.17555546760559082
saya sedang makan sebuah apel.,saya sedang makan sebuah apel,0.1721339225769043
kamu harus membantuku.,kamu harus membantuku,0.16912555694580078
dia mempunyai tiga cucu.,dia mempunyai tiga cucu,0.1759347915649414
stres seringkali menyapa ketika melihat jalanan macet di ibukota,stres seringkali menyapa ketika melihat jalanan macet di ibukota,0.5345795154571533
diperlukan banyak standardisasi.,diperlukan banyak standar di sasi,0.18360257148742676
aku ragu kamu akan senang melihat laporanku.,aku ragu kamu akan senang melihat laporanku,0.2721877098083496
istri saya segera pulang.,istri saya segera pulang,0.17600059509277344
ken sama tingginya dengan bill.,ken sama tingginya dengan bill,0.178084135055542
dia tidak mampu melakukannya.,dia tidak mampu melakukannya,0.18123579025268555
gerbang pintu sebelah timur sudah ditutup.,gerbang pintu sebelah timur sudah ditutup,0.37415289878845215
silakan berdiri.,silakan berdiri,0.1689283847808838
mereka memandang dia seolah-olah pemimpin mereka.,mereka memandang dia seolaholah kemimpin mereka,0.28044962882995605
minggu depan saya berencana memotong rambut di salon.,minggu depan saya berencana memotong rambut di salam,0.272597074508667
"ini ditemukan di smoky hill chalk di logan county, kansas.",ini ditemukan di smuki hil cok di lorgan kolki kances,0.2963836193084717
saya membeli kamera baru.,saya membeli kamera baru,0.18514204025268555
"kemudian, majalah ini saya pinjamkan ke pak yamada.",kemudian majalah ini saya pinjam ke pak yamada,0.2809774875640869
pintu lemari tersebut terbuka,pintu lemari tersebut terbuka,0.17772889137268066
setiap pengendara harus patuh dengan peraturan lalu-lintas.,setiap pengendara harus patuh dengan peraturan lalulintas,0.2854588031768799
"aku serahkan dia padamu, tolong jaga dan rawat dia.",aku serakan dia padamu tolong jaga dan roti,0.18533706665039062
dia seperti ayah bagi saya.,dia seperti ayah bagi saya,0.1750035285949707
dia merokok pipa dari tanah liat panjang dan mempelajari air itu dengan mata berkaca-kaca.,dia merokok pipa dari tanah lihat panjang dan mempelajari air itu dengan mata berkacakaca,0.40049290657043457
sami berlari ke kamar tidur layla.,sami berlari ke kamar tidur lela,0.28361988067626953
jawaban pertanyaan ini ada tiga buah.,jawaban pertanyaan ini ada tiga buah,0.18994379043579102
di perpustakaan banyak rak buku berjejer.,di pustakaan banyak rak buku berjejer,0.17531418800354004
siapa yang menggambar itu?,siapa yang menggambar itu,0.18365907669067383
berikut adalah daftar lengkap pertunjukan keepie-uppie.,berikut adalah daftar langkapercunjukan kipi upi,0.27594995498657227
"terima kasih, kamu luar biasa!",terima kasih kamu luar biasa,0.18638157844543457
"namun, pertarungan sengit dilakukan setelah mereka terdeteksi.",namun pertarungan semit dilakukan setelah mereka terdedeksi,0.28584837913513184
mari kita selesaikan pekerjaan kita.,mari kita selesaikan pekerjaan kita,0.19191670417785645
aku harus menghormati keinginan tom.,aku harus menghormati keinginan tom,0.18859529495239258
kamu telah melakukan apa yang harus kamu lakukan,kamu telah melakukan apa yang harus kamu lakukan,0.29634523391723633
anda tidak harus datang besok.,anda tidak kharus datang besok,0.17065715789794922
kapal itu mengangkut bahan mentah dari indonesia.,kapal itu mengangkut bahan mentah dari indonesia,0.19022655487060547
apakah anda sudah mengunjungi menara tokyo?,apakah anda sudah mungingkin di menara topbu,0.28095269203186035
saya perlu obat untuk mengurangi rasa sakit.,saya perlu obat untuk mengurangi rasa sakit,0.27482128143310547
"jikalau kamu tidak repot, sudilah mampir ke rumahku.",jikalau kamu tidak repot sudihlah mampir ke rumahku,0.27886533737182617
kelihatannya hujan akan turun.,kelihatannya hujan akan turun,0.17843937873840332
"siapa nama anda, pak?",siapa nama anda pat,0.1691739559173584
itu tom. apa yang dia lakukan di luar sana?,itu tom apa yang dia lakukan di luar sana,0.27918243408203125
orang itu selalu ribut selama pelajaran.,orang itu selalu ribut selama pelajaran,0.187727689743042
ini buku tulis saya.,ini buku tulis saya,0.17234587669372559
"melihat matahari, dia menghitung bahwa dia akan mencapai tarifa sebelum tengah hari.",melihat matahari dia memitung bahwa dia akan mencakai kalivas sebelum tengah hari,0.3764359951019287
nikmati pekerjaanmu!,nikmati pekerjaanmu,0.17778944969177246
saya ada teman orang thailand.,saya ada teman orang thailen,0.17816877365112305
ini salah paham.,ini salah paham,0.18506860733032227
sebagian besar daerah multiversum memiliki sifat-sifat yang sangat berbeda.,suhabagian besor saerah motivelsung memiliki sifatsivat yang sangat perbeda,0.3766200542449951
mereka mengajukan kasus itu ke pengadilan.,mereka mengajukkan kasus itu ke pengadilan,0.18946266174316406
ia pertama kali menciptakan istilah biaya peluang di sini.,ia bertama kali mencintakan jestilah biaya peluang di sini,0.27132272720336914
"kamu masih marah, ya?",kamu masih marah ya,0.17760515213012695
kyoto terkenal dengan kuil dan viharanya.,kyoto terkenal dengan guil dan viharanya,0.183549165725708
ini dompet saya yang hilang minggu lalu.,ini dompet saya yang hilang minggu lalu,0.2712850570678711
tom berdiri di atas anak tangga.,tom berdiri di atas anak tangga,0.1274571418762207
tom sedang membaca buku sejarah.,tom sedang membaca buku sejarah,0.27605724334716797
saya mengirimkan kartu pos kepada pak matsui.,saya mengirimkan kartu pos kepada pak matsui,0.2825891971588135
maaf!,maaf,0.11389493942260742
kematian tidak bisa dihindari.,kematian tidak bisa dihindari,0.1821739673614502
buang lah sampah ke tong sampah di sebelah sana.,buanglah sampah ketong sampah di sebelah sana,0.27078723907470703
harus melewati dua buah terowongan salah satunya adalah terowongan yg akan kami masuki.,harus melewati dua buah terowangan salah satunya adalah terawangan yang karen masuki,0.3836677074432373
beberapa temanku bisa bahasa inggris dengan baik.,beberapa demanku bisa bahasa inggris dengan baik,0.28347039222717285
"anak laki-laki penjaga gawang hoki yang mengenakan jaket merah jongkok di depan gawang, dengan sebuah tongkat.",anak lakilaki penjaga dawam hoki yang menganakan jaket merah jangkok di depan gawa dengan sebuah tongkat,0.5244531631469727
aku berterima kasih padamu.,aku berterima kasih padamu,0.18415594100952148
"joe tidak terbunuh karena masalah hutang judi tersebut, hanya terluka.",gao tidak terbunuh karena masalah hutan judy tersebut hanya terluka,0.3753948211669922
jalan ini berbahaya karena sangat sempit.,jalan ini berbahaya karena sangat sempit,0.2801036834716797
ini adalah bilah kaku yang diletakkan sejajar satu sama lain di samping tulang.,ini adalah bilah kaku yang diletakkan sejajar satu sama lain di samping pulang,0.3733832836151123
saya makan daging tebal.,saya makan daging tebal,0.18420004844665527
selalu memberikan jalan yang datang dari kanan.,selalu memberikan jalan yang datang dari kanan,0.28313589096069336
apa yang sedang dilakukan ken?,apa yang sedang dilakukan ken,0.1847083568572998
saya tidak yakin bagaimana cara mengucapkan kata itu,saya tidak yakin bagaimana cara mengucapkan kata itu,0.27802133560180664
lukanya yang dalam tampak dalam air matanya.,lukannya yang dalam tampak dalam air matan,0.2748239040374756
"bila kamu melepaskan koplingnya dengan cepat, maka mesinnya akan mogok.",bila kamu melepaskan koplignya dengan cepat maka mesinnya akan mogok,0.38271093368530273
negara ini dibangun atas teriakan takbir dan toleransi.,negarini di bangur atas tria pantak bir dan tolerant,0.27457761764526367
kamu sudah cuci piring atau belum?,kamu sudah cuci irim atau belun,0.1792616844177246
tapi dengan ada dipp ya itu bener itu satu tapi dengan adanya di platform itu,tapi dengan ada di pyatu bendengartu satu tapi dengar ada yang di platpor itu,0.29195499420166016
besok saya tidak pergi ke sekolah karena tidak ada pelajaran.,besok saya tidak pergi ke sekolah karena tidak ada pelajaran,0.29338955879211426
"tidak perlu khawatir, percayalah padaku.",tidak perlu khawatir percayalah padaku,0.18512606620788574
"seorang pria sedang duduk di kios koran, membaca koran",seorang pria sedang duduk di kyoskoran membaca koran,0.2915019989013672
"ketika naik kereta, dahulukan orang yang turun.",ketika naik kereta dahulukan orang yang turun,0.29360032081604004
saya menyerahkan tas yang terletak di samping saya ke pak matsui.,saya menyerahkan tas yang terletak di samping saya ke pak matsui,0.39638566970825195
saya tidak malu.,saya tidak lalu,0.1303853988647461
jadilah tamuku.,jadilah tamuku,0.1738147735595703
saya lebih suka ikan dibandingkan daging.,saya lebih suka ikan dibandingkan daging,0.18246006965637207
saya sedikit tersentuh.,saya sedikit tersentuh,0.17905521392822266
buku tulis ini berbeda dengan buku tulis saya.,buku tulis ini berbeda dengan buku tulis saya,0.28413963317871094
dia menikah dengan anak perempuan.,dia menikah dengan anak perempuan,0.18926572799682617
"si bapak lupa, kita punya menteri hebat",si bapak lupa kita punya menterihebat,0.2731618881225586
widget semacam ini dihosting oleh mesin widget.,wiget cemacam ini dihos yang oleh mesin wijan,0.2835543155670166
hidup itu harus mikir jangan diem terus!,hidup itu harus mikir jangan diem terus,0.27825140953063965
aku pergi untuk membeli makanan.,aku pergi untuk membeli makanan,0.18541193008422852
di dalam kulkas ada sayur dan telur.,di dalam kulkas ada sayur dan telur,0.2736208438873291
saya juga bekerja pada hari minggu.,saya juga bekerja pada are minggu,0.17740178108215332
ada pulau di laut.,ada pulau di laut,0.17158198356628418
angkat tanganmu.,angkat tanganmu,0.17314529418945312
kemarin saya bertemu dia.,kemarin saya bertemu dia,0.176771879196167
tulisannya sangat subjektif.,tulisannya sangat sabjektif,0.17891597747802734
saya sedang belajar bahasa inggris sekarang.,saya sedang belajar bahasa inggris sekarang,0.5247924327850342
dia mengajak tom pergi memancing.,dia mengajak tom pergi memancing,0.3749711513519287
harganya naik secara drastis!,harganya naik secara derastis,0.29460716247558594
"branford, wynton, delfeayo, dan jason juga musisi jaz.",brandphone wintn delveayo dan jeason juga musisi jas,0.4022841453552246
kakak perempuan saya cantik.,kakak perempuan saya cantik,0.1763620376586914
aku ingin mengikuti acara itu untuk menambah pengalaman.,aku ingin mengikuti acara itu untuk menambah pengalaman,0.27506256103515625
tom berjongkok untuk menaruh sesuatu di rak bawah.,tom berjongkok untuk menaruh sesuatu di rak bawah,0.39911985397338867
dilarang merokok!,dilarang merokok,0.12864041328430176
"anggur adalah pencemooh, minuman keras adalah pembuat ribut, dan siapa disesatkan olehnya tidaklah berhikmat.",anggur adalah pencemo minuman keras adalah pebuatribut dan siapa disesatkan olehnya kicacela berhikmat,1.2809247970581055
dia mencoba berhenti merokok.,dia mencoba berhenti merokok,0.12882328033447266
novel ini susah dimengerti.,novel ini susah dimengerti,0.17944049835205078
persediaan makanan masih banyak.,persediaan makanan masih banyak,0.18878865242004395
urusi urusanmu sendiri!,pulusi urusanmu sendiri,0.17658305168151855
saya jadi nelayan sudah dua puluh lima tahun,saya menjadi nelayan sudah dua puluh lima tahun,0.18641924858093262
karena itulah kita harus melakukan testing kan mereka yang positif,karena itulah kitar harus lakukan tas tingga mereka yang positif,0.1923067569732666
kamu adalah seorang penjahat.,kamu adalah seorang penjahat,0.19269680976867676
pulau itu bagaikan surga bagi anak-anak.,pulau itu bagaikan surga bagi anakanak,0.1908426284790039
saya berikan surat ini padamu.,saya berikan surat ini padamu,0.18858718872070312
aku mendengar dia dikeluarkan dari tempat kerjanya.,aku mendengar dia dikeluarkan dari tempat kerjanya,0.2902965545654297
orang itu kakinya kurus dan panjang.,orang itu kakinya gurus dan panjang,0.18315720558166504
tuan heathcliff ada di sana berbaring telentang.,tun hatthiv ada di sana berbaring perentang,0.2810823917388916
isi dari ruu kpk,ici dari aru uka peka,0.11881208419799805
dia tinggal dalam rumah berwarna kuning.,dia tinggal dalam rumah berwarna kuni,0.18599820137023926
anak lelaki muda berlatih untuk permainan sepak bola yang akan datang.,anak ke laki muda berlatih untuk permainan sepak bola yang akan datang,0.38161540031433105
saya ingin menunjukkan tom apa yang kubawa hari ini.,saya ingin menunjukkan tom apa yang kubawa hari ini,0.3014953136444092
aku bertanya padanya mengenai kecelakaan itu.,aku bertanya padanya mengenai kecelakaan itu,0.5029845237731934
pedang itu terbelah menjadi dua,pedang itu terbelah menjadi dua,0.18822026252746582
saya memakai kacamata.,saya memakai kacamata,0.1738424301147461
apa yang kamu lakukan saat luang?,apa yang kamu lakukan saat luang,0.1735689640045166
apakah anda bisa menjelaskannya lebih rinci?,apakah anda bisa menjelaskannya lebih rinci,0.19211101531982422
musim gugur datang setelah musim panas berakhir.,musim gugur datang setelah musim panas berakhir,0.2743089199066162
apa kamu mendengarnya?,apa kah mau mendengarnya,0.2817807197570801
keiko memberitahu aku tentang kedatangan pesawatnya.,keiko memberitahu aku tentang kedatangan pesawatnya,0.3939054012298584
gunting itu rusak,bunting itu busak,0.12917876243591309
kami semua bahagia.,kami semua bahagia,0.12912797927856445
"karena kemarin lelah, pagi ini saya bangun terlambat.",karena kemarin lelah pagi ini saya bangun terlambat,0.293987512588501
meja yang digunakan ken itu sudah tua.,meja yang digunakankan itu sudah tua,0.12937712669372559
pengambilan sampah dilakukan tiga kali sepekan.,pengambilan sampah dilakukan tiga kali sepekan,0.2812201976776123
saya ingin mengundang kamu ke pesta.,saya ingin mengundang kamu ke pesta,0.1901094913482666
aku masih belum belajar mengendarai mobil.,aku masih belum belajar mengendarai mobil,0.1711287498474121
mereka memandang dia seolah-olah pemimpin mereka.,mereka membandang dia seolaholah pemimpin mereka,0.38091373443603516
senyum adalah ibadah,senyum adalah ibada,0.17737627029418945
mengakui kesalahan merupakan wujud dari sifat ksatria.,mengakui kesalahan merupakan huju daru tepat kesatria,0.2790381908416748
memasuki eset ee menurut keyakinan kita bahwa,memasuki eset  menurut keyakinan kita bawa,0.1806190013885498
saya tidak ingin bertemu lagi dengannya.,saya tidak ingin pertemu lagi dengannya,0.27493977546691895
pulau itu terletak satu mil dari pantai.,pulau itu terletak satu inorgari pantai,0.2888157367706299
tempat penjualan kaus kaki ada di lantai satu.,tempat penjualan ke haus kaki ada di latas satu,0.18709874153137207
saya suka membaca buku cerita.,saya suka memesa buku cerita,0.17376303672790527
kami semua memakai seragam ke sekolah.,kami semua memakai seragam ke sekolah,0.19150590896606445
saya bekerja di sini. saya bukanlah tamu.,saya bekerja di sini saya bukanlah tamu,0.17687439918518066
datanglah pada waktu yang tepat.,datangan pada wati yang tetat,0.18297243118286133
siapa yang melukis lukisan ini?,siapa yang meilukis lukisan ini,0.18243646621704102
penerjemah menggunakan kata ganti orang pertama dan kata ganti orang ketiga dalam terjemahannya.,penerjemah menggunakan kata ganti orang pertama dan kata ganti orang ketiga dalam terjemahannya,0.5143623352050781
"semuanya adalah teman, kelak harus banyak saling memperhatikan.",semuanya adalah teman kelak harus bancak yang saling memperhatikan,0.2880833148956299
jangan membuatku kembali ke sana.,jangan membuatku kembali ke sana,0.17925095558166504
bayi itu tidur sangat lelap di pelukan ibunya.,bayi itu tidur sangat lelap di pelukan ibunya,0.2911388874053955
saya tidak percaya yang dikatakannya,saya tidak percayayang dikatakannya,0.28653717041015625
ada kucing.,ada kucing,0.1792888641357422
"itu benar-benar buruk, tetapi itu membuat saya kuat.",itu benarbenar buruk tetapi itu membuat saya kuat,0.2768263816833496
"itu bukan acara politik, cuma deklarasi gerakan massa saja.",itu bukan ajara politik ciman deklarasi gerakan rasa saja,0.28768372535705566
apa kau ingin makan sesuatu?,apa kau ingin makan sesuatu,0.17381930351257324
saya yakin tom tidak menceritakan semuanya pada kita.,saya yakin tom tidak menceritakan semuanya pada gita,0.29354023933410645
ini terasa seperti mimpi bagiku.,ini terasa seperti mimpi bagiku,0.27882909774780273
kamu sudah menikah atau belum?,kamu sudah menikah atau belum,0.17728471755981445
apakah ada uang masuk,apakah ada uang masuk,0.18922019004821777
aku tidak tahu apakah besok akan hujan.,aku tidak tahu apakah besok akan hujan,0.28323793411254883
studio ini mengagumkan!,studio ini mengagumkan,0.1292591094970703
seorang pria dan wanita berpose untuk dipotret,seorang pria dan wanita berpose untuk dipotret,0.27900099754333496
saya akan membelikan pakaian apa saja yang kamu mau.,saya akan membelikan pakaian apa saja yang kamu mau,0.18919777870178223
tom berjalan dengan pelan.,tom berjalan dengan pelan,0.17673897743225098
gerbang pintu sebelah timur sudah ditutup.,gerbang pintu sebelah timur sudah ditutup,0.19188284873962402
coba dulu aja sebelum nyerah!,jobaduluar jurisebelu mnyiral,0.1707301139831543
saya membantu anak kecil yang tersesat di mal.,saya membantu anak kecil yang tersesat di mal,0.2874128818511963
kita ketinggalan kereta terakhir.,kita ketinggalan kereta terakhir,0.17368078231811523
bagaimana cara memasak makanan ini?,bagaimana cura memasak magangin ini,0.27423930168151855
dua video pertama menampilkan penataan audio yang lebih inggi satu kunci ketimbang versi albumnya.,dua vijiu pertama menampilkan kenataan audio yang lebih inggi saku kunci kekimbang karsi albumnya,0.6718182563781738
tidak ada opsi lain.,tidak ada ofsi lain,0.1291041374206543
aku bisa hidup tanpa air.,aku bisa hidup tanpa ala,0.1932079792022705
ada di lantai tiga bangunan ini.,ada di lantai tiga bangunan ini,0.18900799751281738
saya mengetahui nama binatang itu.,saya mengetahui nama binatang itu,0.17301607131958008
saya menjadi pendek.,saya menjadi pendek,0.11810803413391113
saya belanja bersama teman dan masuk ke kedai kopi.,saya belanja bersama teman dan masuk ke kedai kopi,0.18674397468566895
dan yang ketiga adalah revisi undang-undang kpk dimana juga sudah di sebut,dan yang ketika adalah televisi unanguna kaplika di mana juga sudah disebut,0.27419424057006836
"kalau pergi ke situ, ada kantor pos dan bank.",kalau pergi ke situ ada kantor pos dan bank,0.2990121841430664
sialan!,sialan,0.12838268280029297
kami dapat mempercayai tom.,kami dapat mempercayai tom,0.17026400566101074
saya tidak percaya yang dikatakannya,saya tidak percaya yang dikatakannya,0.18552637100219727
kurasa berbahaya bagi anak-anak bermain di kolam.,kurasa berbahaya bagi anakanak bermain di kolam,0.18551182746887207
saya sudah membaca semua buku harry potter.,saya sudah membaca semua buku harry potter,0.27905964851379395
menjarah adalah hal yang ilegal,menjarah ada hal yang ilegal,0.17979979515075684
bunga ini mekar saat musim semi.,bunga ini mekar saat musim semi,0.17400598526000977
besok dia di rumah.,besok dia di rumah,0.12331390380859375
dia pergi menaiki tangga.,dia pergi menaiki tangga,0.27411389350891113
kemarin hujan deras.,kemarin hujan deras,0.1708235740661621
dia merasa ingin menangis.,dia merasa ingin menangis,0.291884183883667
